url,clicks_current,clicks_previous,clicks_variation_%,impressions_current,impressions_previous,impressions_variation_%,ctr_current_%,ctr_previous_%,position_current,position_previous
https://www.legrand.fr/catalogue/interrupteur/detecteur-mural-mosaic-sans-neutre-2-modules-blanc,1,16,-93.75,84,205,-59.02,1.19,7.8,33.3,23.4
https://www.legrand.fr/pro/catalogue/prise-de-courant-2pt-etanche-plexo-16a-250v-ip55-ik08-avec-enjoliveur-finition-sable,1,14,-92.86,177,433,-59.12,0.56,3.23,19.9,14.5
https://www.legrand.fr/pro/catalogue/programmateur-menager-hebdomadaire-avec-fiche-2pt-et-socle-2pt-16a,1,13,-92.31,71,238,-70.17,1.41,5.46,15.4,14.9
https://www.legrand.fr/pro/catalogue/transformateur-disolement-monophase-primaire-230v-a-400v-et-secondaire-115v-a-230v-4kva,1,13,-92.31,12,269,-95.54,8.33,4.83,7,11.0
https://www.legrand.fr/pro/outils/tutoriels/comment-monter-et-demonter-lappareillage-saillie-asl-simple-et-double,1,13,-92.31,17,88,-80.68,5.88,14.77,14.8,7.0
https://www.legrand.fr/mon-projet/je-minspire/piece-par-piece/salon-et-salle-a-manger/commander-les-volets-roulants-de-toute-ma-maison-depuis-mon-salon,1,12,-91.67,358,552,-35.14,0.28,2.17,14.0,9.3
https://www.legrand.fr/pro/catalogue/coffret-de-commande-de-relayage-rearmement-etanche-plexo-ip55-ik07-2-contacts-no-livre-avec-2-cles-complet-fixation-saillie,1,12,-91.67,20,61,-67.21,5.0,19.67,6.8,6.2
https://www.legrand.fr/actualites/installation-electrique-et-compteur-linky-quels-changements,1,11,-90.91,554,1081,-48.75,0.18,1.02,13.1,11.0
https://www.legrand.fr/pro/catalogue/prise-de-courant-2pt-15a-standard-us-mosaic-2-modules-blanc,1,11,-90.91,61,125,-51.2,1.64,8.8,31.8,33.6
https://www.legrand.fr/pro/catalogue/sirene-electromecanique-ip30-ik05-tension-230v-fixation-saillie-ou-semi-encastree,1,11,-90.91,58,83,-30.12,1.72,13.25,6.9,6.4
https://www.legrand.fr/maison-connectee/des-commandes-sans-fil-faciles-a-poser-et-a-deplacer,1,10,-90.0,71,257,-72.37,1.41,3.89,25.2,27.4
https://www.legrand.fr/pro/catalogue/coffret-distribution-metal-xl3160-tout-modulaire-2-rangees-450x575x147mm-48-modules,1,10,-90.0,3,52,-94.23,33.33,19.23,1.7,14.2
https://www.legrand.fr/pro/catalogue/disjoncteur-differentiel-unineutre-230v-16a-30ma-mosaic-2-modules-blanc,1,10,-90.0,14,47,-70.21,7.14,21.28,31.4,18.2
https://www.legrand.fr/pro/catalogue/fiche-2pt-32a-a-sortie-laterale-par-embout-avec-serre-cables,1,10,-90.0,15,123,-87.8,6.67,8.13,3.9,6.1
https://www.legrand.fr/pro/catalogue/actionneur-myhome-up-modulaire-2-relais-pour-gestion-avancee-volets-motorises-2-modules,1,9,-88.89,4,31,-87.1,25.0,29.03,14.2,12.3
https://www.legrand.fr/pro/catalogue/coffret-modulaire-mini-encastre-1-rangee-62-modules-213x205x71mm-avec-porte-isolante-blanc-ral9010,1,9,-88.89,104,158,-34.18,0.96,5.7,18.0,12.8
https://www.legrand.fr/pro/catalogue/disjoncteur-differentiel-monobloc-dx36000-10ka-arrivee-haute-et-depart-bas-a-vis-un-230v-16a-typef-30ma,1,9,-88.89,9,21,-57.14,11.11,42.86,47.3,11.0
https://www.legrand.fr/pro/catalogue/goulotte-1-compartiment-35x80mm-dlp-monobloc-blanc,1,9,-88.89,10,52,-80.77,10.0,17.31,25.6,9.6
https://www.legrand.fr/pro/catalogue/interrupteur-sectionneur-vistop-32a-4p-avec-commande-laterale-droite-et-poignee-noire,1,9,-88.89,6,77,-92.21,16.67,11.69,5,4.7
https://www.legrand.fr/pro/catalogue/sonnerie-a-timbre-electronique-80db-a-1m-mosaic-2-modules-tension-12v-24v-ou-48v-blanc,1,9,-88.89,13,51,-74.51,7.69,17.65,14.1,11.8
https://www.legrand.fr/pro/catalogue/support-mosaic-2-modules-pour-goulotte-dlp-monobloc-avec-couvercle-85mm,1,9,-88.89,1,25,-96.0,100,36.0,1,7.5
https://www.legrand.fr/pro/outils/tutoriels/appairer-une-commande-declairage-et-de-prises-celiane-self-e,1,9,-88.89,13,88,-85.23,7.69,10.23,6,6.8
https://www.legrand.fr/pro/questions-frequentes/je-souhaite-obtenir-un-certificat-de-conformite-comment-faire,1,9,-88.89,15,52,-71.15,6.67,17.31,37.9,24.5
https://www.legrand.fr/questions-frequentes/linterrupteur-double-connecte-avec-neutre-with-netatmo-fait-il-variation,1,9,-88.89,62,108,-42.59,1.61,8.33,7.7,8.9
https://www.legrand.fr/sites/default/files/doc-pap-bd.pdf,1,9,-88.89,2,49,-95.92,50.0,18.37,4,13.9
https://www.legrand.fr/pro/normes-et-reglementations/efficacite-energetique/systemes-de-pilotage-du-chauffage-obligatoires-dans-tous-les-logements-des-2027,2,16,-87.5,329,534,-38.39,0.61,3.0,39.5,40.5
https://www.legrand.fr/catalogue/interrupteur/double-interrupteur-ou-va-et-vient-dooxie-10ax-250v-finition-blanc-emballage-blister,1,8,-87.5,73,335,-78.21,1.37,2.39,6.8,5.6
https://www.legrand.fr/pro/actualites/reseau-multimedia-filaire-et-wi-fi-tout-ce-que-vous-devez-savoir,1,8,-87.5,52,127,-59.06,1.92,6.3,20.6,16.4
https://www.legrand.fr/pro/catalogue/adaptateur-2pt-16a-230v-pour-fiche-standard-britannique-sur-prise-standard-francais-ou-germanique,1,8,-87.5,23,80,-71.25,4.35,10.0,31.1,17.7
https://www.legrand.fr/pro/catalogue/alimentation-stabilisee-a-decoupage-triphasee-entree-3x380v-a-3x500v-et-sortie-24v-960w,1,8,-87.5,36,120,-70.0,2.78,6.67,13.9,9.9
https://www.legrand.fr/pro/catalogue/boite-multipostes-eco-batibox-2-postes-4-a-5-modules-profondeur-40mm,1,8,-87.5,10,61,-83.61,10.0,13.11,8.4,6.3
https://www.legrand.fr/pro/catalogue/commutateur-a-cames-inverseur-avec-position-arret-45deg-pr40-2p-4-contacts-boitier-135x70mm,1,8,-87.5,9,18,-50.0,11.11,44.44,35,10.7
https://www.legrand.fr/pro/catalogue/disjoncteur-differentiel-monobloc-dx36000-10ka-arrivee-haute-et-depart-bas-a-vis-un-230v-16a-typeac-10ma,1,8,-87.5,70,144,-51.39,1.43,5.56,14.5,13.1
https://www.legrand.fr/pro/catalogue/eclisse-de-jonction-pour-goulotte-a-clippage-direct-mosaic-50x80mm-50x130mm-ou-50x180mm-blanc,1,8,-87.5,28,39,-28.21,3.57,20.51,17.6,9.5
https://www.legrand.fr/pro/catalogue/interrupteur-sectionneur-dx3-is-4p-400v-20a-2-modules,1,8,-87.5,8,44,-81.82,12.5,18.18,17.9,22.9
https://www.legrand.fr/pro/catalogue/inverseur-de-source-manuel-pour-dx3-ou-dx3-is-3-poles-ou-3-modules,1,8,-87.5,56,216,-74.07,1.79,3.7,12.6,20.9
https://www.legrand.fr/pro/catalogue/ouie-daeration-plastique-avec-filtre-g3-ip54-ral7035-150x150mm,1,8,-87.5,23,64,-64.06,4.35,12.5,27.5,12.9
https://www.legrand.fr/pro/catalogue/pdu-avec-voyant-de-presence-tension-19pouces-1u-lcs3-avec-9-prises-2pt-et-cordon-dalimentation-3m-avec-fiche-2pt-16a,1,8,-87.5,3,36,-91.67,33.33,22.22,1,6.8
https://www.legrand.fr/pro/catalogue/pret-a-poser-dooxie-creer-une-prise-commandee-avec-1-prise-de-courant-et-1-commande-sans-fils-livre-complet-blanc,1,8,-87.5,65,184,-64.67,1.54,4.35,34.3,36.3
https://www.legrand.fr/pro/catalogue/prise-de-courant-2pt-surface-mosaic-link-raccordement-lateral-2-modules-rouge,1,8,-87.5,8,27,-70.37,12.5,29.63,3.2,2.3
https://www.legrand.fr/pro/catalogue/voyant-de-balisage-autonome-celiane-eclairage-circulaire-par-led-bleue,1,8,-87.5,7,49,-85.71,14.29,16.33,18.6,14.3
https://www.legrand.fr/questions-frequentes/comment-se-fait-la-mise-a-jour-firmware-du-portier-classe-100x-eliot,1,8,-87.5,4,19,-78.95,25.0,42.11,3,4.2
https://www.legrand.fr/questions-frequentes/comment-reinitialiser-le-thermostat-connecte-smarther-eliot,2,15,-86.67,86,226,-61.95,2.33,6.64,19.9,12.3
https://www.legrand.fr/catalogue/sonnette-et-carillon/carillon-2-notes-filaire-tempo-alimentation-avec-transformateur-230v-vers-12v-integre,2,14,-85.71,176,466,-62.23,1.14,3.0,17.8,15.5
https://www.legrand.fr/pro/catalogue/interrupteur-ou-va-et-vient-etanche-plexo-10ax-250v-ip55-ik08-livre-complet-pour-fixation-en-encastre-gris,2,14,-85.71,167,247,-32.39,1.2,5.67,16.6,16.3
https://www.legrand.fr/actualites/comment-se-preparer-a-la-fin-du-type-de-reseau-analogique,1,7,-85.71,395,611,-35.35,0.25,1.15,11.7,12.3
https://www.legrand.fr/catalogue/fusible/cartouches-fusibles-pour-appareils-electroniques-5x20mm-2a,1,7,-85.71,31,56,-44.64,3.23,12.5,25.2,13.7
https://www.legrand.fr/catalogue/interrupteur/interrupteur-ou-va-et-vient-temoin-voyant-fourni-sans-neutre-plexo-gris,1,7,-85.71,59,151,-60.93,1.69,4.64,29.1,15.8
https://www.legrand.fr/catalogue/plaque-de-couleur-et-cadre-saillie/plaque-celiane-metal-laiton-1-poste,1,7,-85.71,63,188,-66.49,1.59,3.72,24.5,27.6
https://www.legrand.fr/catalogue/prise/prise-tv-mosaic-simple-male-blanc-avec-plaque-et-fixation-a-vis,1,7,-85.71,45,119,-62.18,2.22,5.88,22.3,20.3
https://www.legrand.fr/catalogue/tableau-electrique/tableau-electrique-equipe-special-pour-extension-chambre,1,7,-85.71,183,335,-45.37,0.55,2.09,27.7,29.3
https://www.legrand.fr/mon-projet/tutoriels/remplacer-un-interrupteur-par-un-interrupteur-celiane-soft,1,7,-85.71,49,189,-74.07,2.04,3.7,9.2,11.8
https://www.legrand.fr/pro/catalogue/alimentation-stabilisee-a-decoupage-monophasee-entree-100v-a-240v-et-sortie-24v-480w,1,7,-85.71,8,67,-88.06,12.5,10.45,5,12.7
https://www.legrand.fr/pro/catalogue/barillet-a-cle-pour-cle-ndeg455-pour-coffret-atlantic-et-marina,1,7,-85.71,17,95,-82.11,5.88,7.37,23.9,26.5
https://www.legrand.fr/pro/catalogue/bloc-de-contact-osmoz-pour-boite-a-boutons-raccordement-a-vis-nf,1,7,-85.71,5,29,-82.76,20.0,24.14,20.4,23.3
https://www.legrand.fr/pro/catalogue/boitier-dautomatisme-pour-la-gestion-basique-de-2-disjoncteurs-dpx3-dmx3-ou-ctx3,1,7,-85.71,9,15,-40.0,11.11,46.67,12.1,2.3
https://www.legrand.fr/pro/catalogue/collier-a-embase-noir-protege-ultraviolets-a-denture-interieure-pour-cable-o13-a-o38mm-ou-conduit-irl-o16mm-a-o32mm,1,7,-85.71,4,17,-76.47,25.0,41.18,5,4.4
https://www.legrand.fr/pro/catalogue/commande-sans-fils-pour-volet-roulant-connecte-dooxie-with-netatmo-blanc-sans-plaque,1,7,-85.71,99,114,-13.16,1.01,6.14,32.0,28.7
https://www.legrand.fr/pro/catalogue/compteur-modulaire-triphase-emdx3-mid-raccordement-direct-63a-4-modules-avec-sortie-rs-485,1,7,-85.71,1,39,-97.44,100,17.95,2,16.1
https://www.legrand.fr/pro/catalogue/couvercle-220x260mm-pour-goulotte-gtl-drivia-13access-reference-030032,1,7,-85.71,26,104,-75.0,3.85,6.73,30.5,22.6
https://www.legrand.fr/pro/catalogue/double-prise-usb-type-c-dooxie-3a-15w-finition-blanc,1,7,-85.71,49,179,-72.63,2.04,3.91,23.9,13.4
https://www.legrand.fr/pro/catalogue/goulotte-dinstallation-logix-45-50x50mm-1-compartiment-fond-livre-seul-longueur-2m-pvc-blanc-artic,1,7,-85.71,13,55,-76.36,7.69,12.73,4.7,8.9
https://www.legrand.fr/pro/catalogue/interface-de-contact-modulaire-myhome-up-2-contacts-2-modules,1,7,-85.71,7,16,-56.25,14.29,43.75,5.7,10.9
https://www.legrand.fr/pro/catalogue/interrupteur-filaire-connecte-pour-volet-roulant-et-store-celiane-with-netatmo-titane-sans-plaque,1,7,-85.71,76,143,-46.85,1.32,4.9,33.1,25.8
https://www.legrand.fr/pro/catalogue/jeu-de-4-pattes-de-fixation-murale-pour-coffret-atlantic-metal-pour-charge-de-300kg-traitement-anti-corrosion,1,7,-85.71,4,22,-81.82,25.0,31.82,24,9.4
https://www.legrand.fr/pro/catalogue/plaque-celiane-laque-1-poste-finition-ivoire,1,7,-85.71,8,53,-84.91,12.5,13.21,9.6,19.6
https://www.legrand.fr/pro/catalogue/porte-plans-adhesif-pour-coffrets-ou-portes-drivia-13-modules-ou-18-modules,1,7,-85.71,9,47,-80.85,11.11,14.89,5.1,6.2
https://www.legrand.fr/pro/catalogue/profil-perfore-en-u-u2424-section-24x24x15mm-perforation-7x25mm-et-longueur-3m-finition-inox-316l,1,7,-85.71,16,43,-62.79,6.25,16.28,11.7,7.4
https://www.legrand.fr/pro/nouveautes-produits/detecteurs-mosaic,1,7,-85.71,60,164,-63.41,1.67,4.27,23.8,23.5
https://www.legrand.fr/pro/nouveautes-produits/dooxie-composable-noir,1,7,-85.71,138,330,-58.18,0.72,2.12,8.2,9.1
https://www.legrand.fr/pro/questions-frequentes/comment-retirer-linterieur-dun-plexo-tm,1,7,-85.71,50,163,-69.33,2.0,4.29,12.1,8.8
https://www.legrand.fr/questions-frequentes/quels-sont-les-avantages-de-la-prise-control-mobile-incluse-dans-le-pack-de-demarrage-pour-installation-connectee-mon-eclairage-connecte,1,7,-85.71,20,48,-58.33,5.0,14.58,23.8,33.3
https://www.legrand.fr/questions-frequentes/pourquoi-le-disjoncteur-saute-quand-il-fait-chaud,15,98,-84.69,279,865,-67.75,5.38,11.33,5.8,3.6
https://www.legrand.fr/pro/catalogue/vis-de-fixation-sachet-de-12-pour-goulotte-gtl-viadis-13-modules-blanc-artic,2,13,-84.62,24,110,-78.18,8.33,11.82,21.2,22.0
https://www.legrand.fr/questions-frequentes/comment-rallonger-une-prise-electrique,2,13,-84.62,572,623,-8.19,0.35,2.09,13.7,13.6
https://www.legrand.fr/pro/catalogue/disjoncteur-magnetothermique-differentiel-dpx3160-pouvoir-de-coupure-25ka-400v-4p-160a,3,18,-83.33,14,64,-78.12,21.43,28.12,3,4.1
https://www.legrand.fr/questions-frequentes/comment-modifier-la-configuration-wi-fi-de-ma-camera-interieure-intelligente-netatmo-eliot,3,18,-83.33,99,179,-44.69,3.03,10.06,5.5,7.6
https://www.legrand.fr/catalogue/tableau-electrique/coffret-a-equiper-9-modules-180-x-190-x-83mm-avec-bornier-de-terre,2,12,-83.33,182,343,-46.94,1.1,3.5,23.2,16.9
https://www.legrand.fr/questions-frequentes/ou-installer-ma-borne-ou-ma-prise-de-recharge-pour-ma-voiture-electrique-chez-moi,2,12,-83.33,55,209,-73.68,3.64,5.74,48.7,52.3
https://www.legrand.fr/catalogue/prise/double-prise-de-courant-avec-terre-etanche-precablee-avec-volet-plexo-16a-250v-livree-complete-pour-montage-en-apparent-horizontal-gris,1,6,-83.33,57,140,-59.29,1.75,4.29,15.6,14.6
https://www.legrand.fr/catalogue/prise/prise-de-courant-2pt-surface-confort-avec-prise-usb-type-c-integree-avec-plaque-celiane-blanc,1,6,-83.33,2031,2108,-3.65,0.05,0.28,5.1,6.0
https://www.legrand.fr/catalogue/prise/sortie-de-cable-20a-a-32a-blanc,1,6,-83.33,89,187,-52.41,1.12,3.21,7.1,7.9
https://www.legrand.fr/catalogue/prise/sortie-de-cable-ip44-dooxie-livree-complete-finition-blanc-emballage-blister,1,6,-83.33,40,158,-74.68,2.5,3.8,3.4,4.2
https://www.legrand.fr/catalogue/tableau-electrique-connecte/pack-de-demarrage-drivia-with-netatmo-pour-installation-photovoltaique-avec-module-control-compteur-denergie-delesteur-contacteur,1,6,-83.33,34,154,-77.92,2.94,3.9,11.3,13.9
https://www.legrand.fr/pro/actualites/tout-change-lappareillage-electrique-mosaic-tm-aussi,1,6,-83.33,514,598,-14.05,0.19,1.0,10.2,12.8
https://www.legrand.fr/pro/catalogue/alpimatic,1,6,-83.33,4,13,-69.23,25.0,46.15,34.2,4.1
https://www.legrand.fr/pro/catalogue/boite-de-derivation-plexo-rectangulaire-faible-encombrement-80x43x34mm-avec-10-embouts-pour-cables-et-tubes-7mm-a-16mm,1,6,-83.33,71,196,-63.78,1.41,3.06,7.5,8.2
https://www.legrand.fr/pro/catalogue/boite-de-derivation-rectangulaire-pour-presse-etoupe-plexo-dimensions-220x170x86mm-gris-ral7035,1,6,-83.33,10,33,-69.7,10.0,18.18,9,7.9
https://www.legrand.fr/pro/catalogue/boitier-reversible-simple-hypra-pour-prise-2pt-ip44-et-ip6667-55-16a-plastique,1,6,-83.33,4,30,-86.67,25.0,20.0,1.5,2.1
https://www.legrand.fr/pro/catalogue/borne-connexion-sans-vis-nylbloc-auto-grise-pour-8-fils-avec-intensite-maximum-24a-et-tension-disolement-450v,1,6,-83.33,10,19,-47.37,10.0,31.58,10.1,9.2
https://www.legrand.fr/pro/catalogue/cadre-saillie-profondeur-30mm-mosaic-pour-2-modules-et-support-reference-080251,1,6,-83.33,42,31,35.48,2.38,19.35,7.5,4.0
https://www.legrand.fr/pro/catalogue/cloche-bronze-poli-ip20-ik02-hauteur-117mm-et-o115mm,1,6,-83.33,8,45,-82.22,12.5,13.33,22.9,12.0
https://www.legrand.fr/pro/catalogue/coffret-27-modules-235x500x99mm-blanc-ral9003,1,6,-83.33,7,28,-75.0,14.29,21.43,32.6,16.2
https://www.legrand.fr/pro/catalogue/coffret-metal-vertical-atlantic-metal-ip55-ik10-1200x1000x300mm-ral7035,1,6,-83.33,8,70,-88.57,12.5,8.57,7,6.4
https://www.legrand.fr/pro/catalogue/commande-sans-fils-dooxie-with-netatmo-pour-eclairage-ambiances-couleurs-connecte-blanc-sans-plaque,1,6,-83.33,12,33,-63.64,8.33,18.18,13.2,15.8
https://www.legrand.fr/pro/catalogue/commutateur-a-cames-interrupteur-marchearret-pr21-4p-4-contacts-fixation-par-vis-sur-porte,1,6,-83.33,7,30,-76.67,14.29,20.0,7.7,6.6
https://www.legrand.fr/pro/catalogue/conduits-et-cheminements-de-cables/chemin-de-cables-metallique-legrand-cable-management/chemin-de-cables-fil,1,6,-83.33,282,356,-20.79,0.35,1.69,8.6,7.4
https://www.legrand.fr/pro/catalogue/couvercle-metal-revetement-inox-pour-boite-de-sol-version-standard-16-modules-ou-24-modules,1,6,-83.33,6,27,-77.78,16.67,22.22,37.7,38.3
https://www.legrand.fr/pro/catalogue/detecteur-mural-celiane-avec-neutre-3-fils,1,6,-83.33,6,20,-70.0,16.67,30.0,3.8,9.8
https://www.legrand.fr/pro/catalogue/detecteurs-douverture-intelligents-et-connectes-pour-portes-et-fenetres-netatmo-pour-camera-interieure-intelligente,1,6,-83.33,86,187,-54.01,1.16,3.21,32.2,27.5
https://www.legrand.fr/pro/catalogue/disjoncteur-differentiel-monobloc-dx36000-10ka-arrivee-haute-et-depart-bas-a-vis-2p-230v-a-400v-50a-typeac-30ma,1,6,-83.33,6,24,-75.0,16.67,25.0,8.8,10.6
https://www.legrand.fr/pro/catalogue/fiche-mobile-droite-p17-ip6667-16a-380v-a-415v-3pt,1,6,-83.33,1,24,-95.83,100,25.0,1,1.6
https://www.legrand.fr/pro/catalogue/gaine-spirale-o22mm-pour-passage-de-fils-pour-toutes-les-dimensions-de-goulottes-segma,1,6,-83.33,56,153,-63.4,1.79,3.92,14.3,16.3
https://www.legrand.fr/pro/catalogue/goulotte-1-compartiment-35x105mm-dlp-monobloc-blanc,1,6,-83.33,15,46,-67.39,6.67,13.04,23,25.2
https://www.legrand.fr/pro/catalogue/goulotte-de-distribution-viadis-1-compartiment-60x40mm-et-longueur-2m-livree-avec-couvercle-blanc-artic,1,6,-83.33,11,61,-81.97,9.09,9.84,14.6,6.9
https://www.legrand.fr/pro/catalogue/interface-de-communication-nemo-sx-rs485-pour-systeme-de-supervision-nemo-sx,1,6,-83.33,9,16,-43.75,11.11,37.5,40.1,23.5
https://www.legrand.fr/pro/catalogue/interrupteur-ou-va-et-vient-etanche-plexo-10ax-250v-ip55-ik08-avec-enjoliveur-finition-blanc,1,6,-83.33,5,26,-80.77,20.0,23.08,52,23.5
https://www.legrand.fr/pro/catalogue/interrupteur-variateur-celiane-pour-ventilateur-de-plafond,1,6,-83.33,8,64,-87.5,12.5,9.38,7,10.6
https://www.legrand.fr/pro/catalogue/lecteur-de-badge-tactile-rfid-pour-gestion-de-la-chambre-dhotel-noir,1,6,-83.33,99,196,-49.49,1.01,3.06,29.2,24.9
https://www.legrand.fr/pro/catalogue/parafoudre-pour-protection-tableau-de-distribution-avec-protection-integree-type2-imax-12kapole-3pn-2-modules,1,6,-83.33,60,109,-44.95,1.67,5.5,30.0,27.4
https://www.legrand.fr/pro/catalogue/patere-plexo-66-pour-suspendre-le-boitier-de-controle-du-cordon-de-recharge-greenup-access-pour-vehicule-electrique,1,6,-83.33,7,24,-70.83,14.29,25.0,14,8.5
https://www.legrand.fr/pro/catalogue/rallonge-2pt-16a-ip44-ik08-avec-double-prolongateur-ergonomique-en-caoutchouc-et-cable-10m,1,6,-83.33,26,75,-65.33,3.85,8.0,8.9,12.2
https://www.legrand.fr/pro/catalogue/telerupteur-cx3-standard-avec-bornes-a-vis-1p-16a-250v-contact-1f-tension-commande-12v-1-module,1,6,-83.33,98,122,-19.67,1.02,4.92,26.8,28.5
https://www.legrand.fr/pro/outils/tutoriels/logiciel-xl-pro3-comment-choisir-le-nombre-et-le-type-de-departs-dans-le-module-rangement,1,6,-83.33,63,100,-37.0,1.59,6.0,10.7,7.9
https://www.legrand.fr/pro/questions-frequentes/a-quoi-servent-les-bornes-ou-15v-sur-un-transformateur-electrique-dans-une-installation-tgbt,1,6,-83.33,74,96,-22.92,1.35,6.25,16.9,12.4
